Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,IncomeGroup,
Afghanistan,AFG,16.65699959,16.65699959,16.65699959,16.65699959,16.65699959,16.65699959,16.65699959,17.88076019,19.65283966,19.65283966,26.37323952,32.70611954,32.70611954,32.70611954,17.89102936,18.57060051,18.57060051,18.57060051,18.57060051,18.57060051,18.57060051,18.57060051,18.57060051,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,27.57517052,80.49504089,84.41494751,85.62532806,85.62532806,Low income,28.70244869
Burundi,BDI,5.744689941,5.744689941,5.744689941,10.70660973,10.85875034,11.56672955,10.84547997,11.10624027,11.15044975,11.29339981,11.49689007,11.78833008,14.08067989,19.17869949,26.28512001,27.41909027,28.42155075,28.10720062,38.91804886,33.14085007,41.07458878,45.66585922,48.7923317,52.02534103,52.02534103,52.02534103,52.02534103,52.02534103,52.02534103,52.02534103,24.35050011,24.78704071,25.1833992,29.58313942,31.79199982,33.94643021,33.94643021,38.66096115,41.65348816,48.35905838,51.54841995,56.37577057,62.99792099,70.719841,69.56655884,64.53968048,67.67450714,68.37870026,63.02138901,59.37641907,Low income,35.99540022
Burkina Faso,BFA,7.195720196,7.195720196,6.792620182,7.037759781,6.79652977,7.626100063,7.553160191,8.557439804,8.742630005,9.560799599,9.324469566,10.29990959,10.54666042,11.30795956,12.30673981,13.90581989,13.90581989,15.82594013,16.91584015,16.58723068,19.49580002,19.95185089,26.68046951,26.24488068,27.11621094,18.59445953,22.57243919,22.57243919,22.57243919,23.46804047,25.42222023,26.67761993,27.48546982,29.11165047,30.42653084,31.7365799,32.80561829,34.97426987,38.86925888,43.91450882,47.05522156,47.05522156,57.36603165,62.34405136,60.84949875,62.02980042,61.72433853,63.51921844,65.47892761,64.54945374,Low income,27.0129878
Central African Republic,CAF,27.51474953,27.51474953,25.9116497,32.2016716,28.53326988,36.20072174,31.08381081,32.86008072,40.6213913,40.6213913,40.6213913,30.58946037,30.29219055,27.09630013,27.09630013,27.09630013,38.50828934,28.75411987,29.98490906,29.65986061,31.57345009,29.18168068,23.34424019,23.34424019,23.34424019,23.34424019,23.34424019,23.34424019,23.34424019,23.34424019,23.34424019,23.34424019,23.34424019,23.34424019,23.84486961,26.09930992,26.11194038,26.11194038,34.81547928,37.22557068,39.22779846,40.87232971,42.82416153,42.82416153,42.82416153,42.82416153,40.8741684,40.8741684,40.8741684,40.8741684,Low income,31.25502358
"Congo, Dem. Rep.",COD,41.38568115,41.38568115,43.54940033,43.54940033,43.54940033,43.54940033,53.83528137,56.76039886,60.31843185,60.31843185,59.91345978,62.08292007,64.59004211,67.00007629,69.32862854,69.32862854,69.32862854,69.32862854,50.41149139,50.41149139,50.41149139,52.33850861,48.66859055,56.14167023,47.37845993,47.37845993,47.37845993,47.37845993,47.37845993,34.88388824,34.88388824,34.88388824,42.70936966,42.70936966,42.70936966,42.70936966,42.70936966,55.44419098,60.51383972,63.11711121,63.64162064,65.57299042,70.90409088,69.77172852,69.77172852,69.91117096,69.91117096,69.91117096,69.91117096,69.91117096,Low income,55.01739464
Eritrea,ERI,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,25.91691017,31.7730999,42.58639908,47.23897934,47.23897934,45.38903046,48.5074501,49.49895096,48.9708519,55.22574997,64.33746338,79.40328979,79.71649933,79.34432983,82.01907349,87.97068787,76.33065033,73.28090668,66.08583832,61.0422287,61.0422287,62.84111023,62.84111023,64.18666077,60.27051163,60.27051163,Low income,43.70670692
Ethiopia,ETH,18.15880013,18.15880013,18.15880013,18.15880013,18.15880013,18.15880013,18.15880013,18.15880013,18.15880013,18.15880013,18.15880013,18.15880013,18.15880013,24.59029007,24.59029007,24.59029007,24.59029007,24.59029007,24.01425934,22.8167305,22.8167305,22.8167305,22.8167305,14.10828018,14.10828018,13.96494961,14.94219017,14.94219017,17.15014076,19.81637001,22.31555939,27.74431038,31.60784912,34.92633057,37.69916916,43.46147919,47.19113922,47.29251862,49.45278931,51.35950851,57.70273972,52.54763031,50.30796814,50.30796814,53.38832855,54.11090088,54.11090088,54.11090088,54.11090088,54.11090088,Low income,30.22378454
Guinea,GIN,17.92550087,17.92550087,17.92550087,17.92550087,17.92550087,17.92550087,17.92550087,17.92550087,19.54213905,19.54213905,21.07171059,17.26182938,18.79557037,18.50176048,18.95903015,15.41312027,14.61991024,14.05109024,11.31077957,12.21350956,18.13441086,16.33708954,16.35330963,18.73032951,19.94395065,19.88435936,30.5173893,30.5173893,25.45322037,29.06052017,31.67450905,33.42895126,37.35200119,37.54304886,47.19324875,53.20787811,57.48635101,57.76227188,50.64950943,56.75358963,56.91796112,56.91796112,60.10137939,60.8259201,62.25954056,62.25954056,59.66736984,59.66736984,59.66736984,59.66736984,Low income,32.61243412
"Gambia, The",GMB,20.30998993,20.30998993,22.67012024,22.26510048,21.90723991,23.49695015,22.80871964,18.31771088,23.92111969,24.68905067,27.45068932,27.62601089,31.69228935,35.70227051,41.95214081,44.18267059,46.75466919,50.79954147,50.79954147,44.03794861,44.03794861,44.03794861,43.27341843,41.37709045,40.41141129,43.12509918,50.37639999,47.54307938,47.54307938,67.91742706,66.12757874,65.97637177,63.36499023,65.8316803,64.35018921,61.29161835,59.51028824,66.33712769,72.35038757,72.35038757,67.10289001,63.97330856,65.6831131,66.41799927,66.99941254,67.47250366,69.27261353,69.27261353,69.27261353,78.94251251,Low income,48.66473732
Guinea-Bissau,GNB,6.928830147,6.928830147,6.928830147,6.928830147,6.928830147,6.928830147,6.928830147,6.928830147,6.928830147,15.0886898,11.2465601,16.39477921,17.8096199,14.29358006,13.49201965,13.49201965,13.49201965,9.823459625,6.53606987,6.53606987,6.53606987,6.53606987,6.53606987,28.31343079,28.31343079,28.31343079,28.31343079,28.31343079,28.31343079,28.31343079,28.31343079,28.31343079,28.31343079,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,65.14251709,Low income,32.21459333
Liberia,LBR,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,29.28657913,66.62625885,66.62625885,66.62625885,66.62625885,66.62625885,66.62625885,66.62625885,66.62625885,66.62625885,66.62625885,62.91722107,62.91722107,62.08823013,62.08823013,66.84977722,66.84977722,66.84977722,60.00973129,60.00973129,60.00973129,60.59540176,60.59540176,60.59540176,Low income,45.38751716
Madagascar,MDG,27.0122509,27.0122509,29.63990021,29.21636963,29.21636963,31.74353027,31.74353027,31.74353027,31.74353027,31.74353027,31.74353027,31.74353027,37.53620148,37.53620148,37.53620148,37.53620148,37.53620148,37.53620148,37.53620148,35.40575027,35.06270981,33.79050064,31.00875092,31.90892029,29.14633942,28.91202927,29.49620056,29.49620056,30.22361946,33.51794815,36.70574188,36.19731903,36.25741959,40.09122086,45.97764969,58.28878021,57.07947922,61.22325897,67.43195343,73.94528198,70.37521362,70.69732666,69.12863159,67.96189117,68.19869995,68.65421295,67.57843018,67.57843018,65.46877289,63.27682114,Low income,43.34281536
Mali,MLI,10.05257034,10.05257034,9.234339714,9.610699654,10.3650198,10.3650198,11.50673962,13.81923008,12.93373013,13.63486958,12.0618,11.61676025,11.61676025,11.82734966,11.29913044,10.66479969,9.795639992,9.731249809,9.409270287,9.409270287,9.409270287,31.06592941,31.06592941,31.06592941,31.06592941,31.06592941,31.06592941,31.06592941,31.06592941,31.06592941,31.06592941,35.12379837,36.02547836,39.05849075,40.85932159,42.26309967,47.31689072,50.29813004,52.92718124,54.47351837,57.5708313,58.27114868,54.55112839,54.25202942,53.20568848,50.92628098,51.04618073,49.61439133,49.61439133,49.61439133,Low income,29.3217551
Mozambique,MOZ,8.548800468,8.548800468,8.548800468,8.548800468,8.548800468,8.548800468,8.548800468,8.548800468,8.548800468,8.548800468,8.548800468,8.548800468,36.70137024,28.65740967,33.98735046,34.37651062,46.07315063,34.6079216,27.32258034,26.94894981,28.10639,28.22294998,26.15246964,25.76950073,25.98340034,26.36037064,26.36037064,26.36037064,26.36037064,14.38055038,16.57522964,19.36938095,22.77030945,22.77030945,29.84896088,41.82891846,41.26380157,45.44189835,58.13262939,55.26905823,58.99485016,54.87825012,52.04405975,49.54563141,48.80899811,48.95317841,48.95317841,47.14291,51.98764038,54.7286911,Low income,29.89250954
Malawi,MWI,20.43902016,20.43902016,20.43902016,20.43902016,20.43902016,21.68939018,23.82975006,28.17892075,29.17209053,31.1299305,31.68334961,34.19107056,33.83198929,33.66397858,32.17247009,33.4029007,32.68717957,32.67435837,26.56138039,27.68425941,30.31562042,33.77556992,37.54444885,39.85985184,42.32862091,54.82429886,63.49089813,63.49089813,63.49089813,64.44273376,63.48488998,65.07366943,68.62548065,68.62548065,60.58398819,60.37606812,59.8608017,60.64086914,65.31298828,66.76925659,69.20667267,71.60990143,74.80017853,80.04418945,80.00206757,80.00206757,80.00206757,80.00206757,80.00206757,80.34858704,Low income,49.27370636
Niger,NER,5.310800076,5.310800076,6.460929871,6.551760197,6.479469776,6.861660004,7.512189865,8.403820038,10.24600983,10.6716404,13.72097969,14.63412952,16.93020058,18.34153938,19.9825592,19.63311958,21.67921066,22.74241066,22.74241066,14.86905003,16.32300949,17.36731911,18.18634033,16.1076107,13.45343018,13.45343018,13.8539896,17.81744003,18.78352928,19.38180923,18.37958908,19.40044022,21.11149979,20.4672699,26.61951065,29.39775085,32.20075989,38.88185883,37.40855026,39.65544128,39.68682098,44.36259079,47.7938118,47.71931076,57.60813904,57.60813904,71.62693787,71.62693787,71.62693787,62.26213837,Low income,25.58514067
"Korea, Dem. People's Rep.",PRK,18.0242433,18.0242433,18.36656818,19.06255075,18.84796813,19.78262016,20.25881764,20.89959705,22.30526763,23.11611265,23.66369748,23.92787123,26.90574896,27.22543901,27.63015622,27.80097258,29.44791561,28.27165639,26.63980454,25.21844131,26.69197375,28.42888105,28.38732433,30.48598349,29.83735657,30.61757797,33.32408923,36.01923859,35.9465692,36.32554305,35.33451164,36.5013026,37.95770121,41.78949547,44.09913862,47.70965743,48.53395724,51.1280334,54.19825232,56.62305605,56.88547552,57.24892509,58.38473618,97.3324585,97.3324585,97.3324585,97.3324585,97.3324585,97.3324585,97.3324585,Low income,41.78411363
Rwanda,RWA,21.01321983,21.01321983,22.82049942,25.33366013,26.55170059,28.30772018,28.30772018,30.28216934,27.81941032,27.81941032,37.54317856,48.50830078,47.54627991,45.69305038,46.56948853,47.48394012,43.74116898,42.89767075,43.26448059,43.3726387,42.48289108,42.94945908,46.19620895,46.19620895,46.19620895,46.19620895,31.94725037,31.94725037,31.94725037,31.94725037,25.08176041,26.42844009,32.06346893,41.73659897,40.76081848,40.76081848,40.76081848,40.76081848,51.28987122,69.37140656,71.87429047,71.87429047,71.16143036,69.14878082,62.99047089,63.35086823,69.06014252,78.19880676,86.54634857,97.40032959,Low income,45.09031387
Sudan,SDN,18.19029755,18.19029755,18.6140088,19.41094572,19.27595327,20.25623683,20.7059789,21.42085106,22.61160889,23.37740696,24.43477976,25.29345065,28.05244513,28.25141742,28.68234135,28.89447078,30.24198524,29.08421275,27.56339766,26.22700783,27.56924693,29.23557983,29.37670681,31.35877379,30.7461817,31.48305747,33.24759818,35.79301702,35.72438482,36.08230456,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,57.54983139,58.09366989,58.2490387,59.24304962,59.83707809,61.68764114,61.68764114,61.68764114,Low income,40.21730596
Sierra Leone,SLE,18.27548077,18.27548077,18.72273154,19.56394273,19.42145069,20.45619445,20.93092219,21.61752278,22.57608986,22.57608986,22.57608986,25.81681061,25.81681061,25.76851082,25.76851082,25.76851082,25.76851082,25.76851082,25.76851082,25.76851082,25.76851082,25.76851082,25.76851082,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,61.11948013,74.27321625,74.27321625,74.27321625,74.27321625,74.27321625,74.27321625,74.27321625,74.27321625,74.27321625,74.27321625,67.86105347,64.16042328,62.97579956,62.97579956,59.79026031,68.33248901,70.19275665,81.78533936,83.21027374,Low income,47.74565847
Somalia,SOM,18.19455671,18.19455671,18.61944494,19.41859557,19.28322814,20.26623471,20.71722606,21.43068465,22.60983294,23.33734111,24.34184527,25.31961864,27.9406634,28.12727209,28.53664982,28.73817278,30.01831152,28.91842765,27.47365331,26.20408298,27.47921013,29.06222638,29.19629701,32.84680911,32.26484662,32.9648786,34.64119228,37.05934018,36.99413959,37.33416334,37.40037093,39.11716403,40.63685429,44.37753592,46.29194357,49.36088456,50.0615394,52.26650413,55.40264285,58.36780279,58.71600353,58.70432753,59.27061001,61.54475622,61.44001188,61.22884016,65.27462158,66.17250347,67.00109482,67.44635429,Low income,38.15231736
South Sudan,SSD,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,27.43708992,Low income,27.43708992
Syrian Arab Republic,SYR,55.20809937,55.20809937,59.08805084,59.33472061,63.78942108,67.85819244,71.98912048,75.43965912,77.77348328,74.82501221,73.21997833,74.63626862,79.06899261,81.052948,82.34043121,84.90395355,86.63461304,86.9968338,86.89729309,89.70002747,89.89820862,91.45558929,95.83834839,88.0113678,90.17445374,89.59461975,91.35092163,91.27483368,91.19721985,91.76779175,91.24430084,92.73813629,95.01953888,106.0661392,107.473793,109.0093765,108.9068375,106.0099792,104.0958862,103.0555725,103.3670502,106.9108963,113.6243134,72.29299164,72.29299164,72.29299164,72.29299164,72.29299164,72.29299164,72.29299164,Low income,85.00202629
Chad,TCD,15.2624197,15.2624197,15.2624197,12.94274998,12.94274998,12.94274998,11.77451992,11.1054697,11.1054697,11.1054697,11.1054697,11.1054697,11.1054697,11.58073997,11.58073997,11.58073997,11.58073997,12.92121983,11.58073997,12.92121983,16.51408958,18.13635063,18.13635063,18.13635063,18.14903069,14.32831955,14.92397022,15.50078011,15.50078011,20.04664993,22.1473999,24.38902092,27.11602974,31.93519974,33.48506927,30.09581947,29.59753036,29.59753036,29.59753036,31.07718086,30.86058044,33.93759155,34.40066147,37.66218948,37.66218948,37.49597168,41.32025909,37.92238998,40.56021881,40.56021881,Low income,21.55124481
42.74071121,TGO,25.26165009,25.26165009,30.57850075,30.57850075,30.57850075,42.74071121,42.74071121,42.74071121,52.31446838,51.79573822,53.39947128,50.06322861,47.7038002,46.68484116,40.29664993,33.93872833,33.70658875,32.35454178,37.57527924,30.37071991,36.37184906,36.37707901,37.10565948,37.10565948,28.43716049,40.40428162,47.02153015,57.26235962,57.26235962,57.26235962,66.62779236,73.85542297,73.85542297,74.66124725,76.71295166,76.04608154,75.4973526,75.4973526,67.11387634,66.05271149,70.35707855,71.91786957,75.12908173,78.34172821,84.20050049,84.20050049,92.71514893,91.60781097,89.67256165,87.42386627,Low income,55.33563297
Uganda,UGA,39.9762001,39.9762001,39.9762001,39.9762001,39.9762001,39.9762001,40.07733917,40.07733917,42.05794907,42.05794907,42.05794907,42.05794907,42.05794907,42.97251129,42.97251129,42.97251129,38.81892014,38.81892014,38.81892014,38.81892014,38.81892014,38.81892014,38.81892014,38.81892014,38.81892014,38.81892014,60.41220093,60.41220093,60.41220093,60.41220093,60.41220093,60.41220093,62.56145096,62.2913208,58.69958878,57.47274017,57.47274017,53.52669907,58.37014008,75.11724091,57.17232895,55.07318115,56.38832855,56.45769882,59.89649963,54.74301147,54.74301147,52.67176056,52.67176056,52.67176056,Low income,48.95765656
"Yemen, Rep.",YEM,20.97042885,20.97042885,21.66733096,22.23306801,22.29506741,23.71330279,24.19540492,24.87864026,26.36519047,26.81943932,27.63071957,28.34661529,30.54335511,30.78464786,30.91911802,30.93594813,31.86778822,30.99290716,29.97138623,28.82821999,30.23475269,31.63583781,31.94071561,34.58816843,33.86840131,34.72483391,37.25425964,39.62051569,55.97232056,55.97232056,58.85403824,58.85403824,57.93289948,61.01327133,60.04838181,59.80574036,59.80574036,63.35874176,63.35874176,63.35874176,65.44632721,65.44632721,69.84921265,69.69535828,69.69535828,69.69535828,72.30039215,72.30039215,72.30039215,72.30039215,Low income,
